"ID","Lote","Categoria","Titulo","Solucion propuesta","Logica de test","Criterio de aceptacion","Estado","Prioridad"
"13","L1 Backlog base","IT4 Municion","Aviso sin municion","Texto central cuando CurrentAmmo llega a cero","Vaciar el cargador disparando y leer el aviso","El aviso aparece al llegar a cero y se va al recargar","HECHO","Alta"
"14","L1 Backlog base","IT4 Municion","Contador en rojo con poca municion","Teñir el texto cuando la razon de municion baja de 0.3","Fijar municion en 2 de 8 y leer el color del texto","Color rojo bajo el umbral y normal por encima","HECHO","Media"
"15","L1 Backlog base","IT4 Municion","Barra de recarga legible","Usar ReadinessFraction01 con color distinto durante la recarga","Disparar, forzar recarga y muestrear fill y color en varios instantes","La barra progresa de 0 a 1 durante la recarga","Pendiente","Media"
"16","L1 Backlog base","IT4 Municion","Recarga manual","Metodo Reload publico en WeaponHolder atado a una tecla","Con cargador parcial llamar Reload y verificar estado","IsReloading pasa a true y termina con el cargador lleno","HECHO","Alta"
"17","L1 Backlog base","IT5 Daño recibido","Indicador de direccion del daño","Marca en el borde segun el angulo entre atacante y frente del jugador","Publicar DamageTakenEvent desde tres posiciones y leer la rotacion del indicador","El angulo del indicador corresponde a la posicion del atacante","HECHO","Alta"
"18","L1 Backlog base","IT5 Daño recibido","Vignette mas fuerte con poca vida","Escalar el alfa pico de DamageVignetteView segun la vida restante","Recibir el mismo daño con vida alta y baja y comparar el alfa pico","El alfa es mayor con vida baja","HECHO","Media"
"19","L1 Backlog base","IT5 Daño recibido","Numero de daño flotante","Texto en mundo sobre el objetivo que sube y se desvanece","Aplicar daño conocido y leer el texto generado","El numero coincide con el daño aplicado y desaparece","HECHO","Media"
"20","L1 Backlog base","IT5 Daño recibido","Distinguir recibir de dar daño","Efecto y sonido separados segun seas TargetId o AttackerId","Generar los dos casos y verificar que se activan efectos distintos","Cada caso dispara su propio efecto sin solaparse","HECHO","Alta"
"21","L1 Backlog base","IT6 Minimapa","Leyenda de colores","Panel chico con el color de aliado, enemigo y vehiculo","Verificar que existe y que los colores coinciden con los de MinimapIcon","Los colores de la leyenda son los mismos que los iconos reales","HECHO","Baja"
"22","L1 Backlog base","IT6 Minimapa","Flecha de orientacion","Icono con forma direccional rotado segun el yaw del jugador","Rotar al jugador y leer la rotacion del icono","La rotacion del icono sigue la del jugador","HECHO","Media"
"23","L1 Backlog base","IT6 Minimapa","Iconos de enemigo distinguibles","Forma o tamaño distinto ademas del color","Comparar escala y color de iconos aliado y enemigo","Difieren en mas de un atributo","HECHO","Media"
"24","L1 Backlog base","IT6 Minimapa","Niebla simple","Ocultar iconos de enemigos fuera del rango de vision de la escuadra","Alejar un enemigo mas alla del rango y leer el estado de su icono","El icono se desactiva fuera de rango y vuelve al entrar","HECHO","Media"
"25","L1 Backlog base","IT7 Ordenes RTS","Marcador de destino","OrderMarkerFx ya existe, garantizar que sea visible y temporal","Dar una orden y verificar que el marcador aparece en el punto y expira","Aparece en la posicion ordenada y desaparece solo","HECHO","Alta"
"26","L1 Backlog base","IT7 Ordenes RTS","Linea al destino","LineRenderer del soldado a su punto ordenado mientras dure la orden","Dar orden y verificar que la linea existe y sus extremos son correctos","Los extremos coinciden con soldado y destino","HECHO","Media"
"27","L1 Backlog base","IT7 Ordenes RTS","Confirmacion en texto","Mensaje breve indicando que se dio la orden y a cuantos","Ordenar a dos soldados y leer el texto","El texto refleja la cantidad correcta","HECHO","Media"
"28","L1 Backlog base","IT7 Ordenes RTS","Cancelar ordenes","Comando que devuelve los seleccionados a Patrol o Idle","Dar orden, cancelar y leer AiBrain.State","El estado deja de ser MovingToOrder y el marcador se limpia","HECHO","Media"
"29","L1 Backlog base","IT8 Seleccion RTS","Contador de seleccionados visible","Mostrar el numero destacado y no dentro del texto de ayuda","Seleccionar dos y leer el contador","Coincide con Selection.Selected.Count","HECHO","Media"
"30","L1 Backlog base","IT8 Seleccion RTS","Seleccionar toda la escuadra","Atajo que selecciona todos los aliados vivos","Ejecutar el atajo y comparar contra los aliados vivos","Selecciona exactamente los vivos y ninguno muerto","HECHO","Alta"
"31","L1 Backlog base","IT8 Seleccion RTS","Seleccionar por rol","Doble click selecciona todos los del mismo RoleType visibles","Doble click en un Assault y leer los seleccionados","Todos los seleccionados comparten rol","HECHO","Baja"
"32","L1 Backlog base","IT8 Seleccion RTS","Anillo con color por vida","Teñir SelectionRingFx segun la fraccion de vida","Seleccionar un soldado herido y otro sano y comparar colores","Los colores difieren segun la vida","HECHO","Baja"
"33","L1 Backlog base","IT9 Transicion FPS RTS","Aviso del modo al cambiar","Texto breve al alternar que se desvanece solo","Alternar modo y verificar aparicion y expiracion del texto","Aparece al cambiar y se apaga solo","HECHO","Media"
"34","L1 Backlog base","IT9 Transicion FPS RTS","Lerp de camara al cambiar","Interpolar posicion y proyeccion en vez del corte seco actual","Alternar y verificar IsTransitioning inmediatamente despues","IsTransitioning es true durante la transicion","Pendiente","Alta"
"35","L1 Backlog base","IT9 Transicion FPS RTS","Recordar vista RTS","Guardar posicion y zoom al salir de RTS y restaurarlos al volver","Panear, ir a FPS, volver y comparar la posicion de camara","La vista vuelve al mismo punto y zoom","HECHO","Media"
"36","L1 Backlog base","IT9 Transicion FPS RTS","Instrucciones por modo","Texto contextual distinto y correcto en cada modo","Leer el texto en FPS, RTS y dentro del vehiculo","Cada modo muestra solo sus teclas validas","HECHO","Media"
"37","L1 Backlog base","IT10 Vehiculo","Aviso de asiento ocupado","Mensaje cuando se intenta ocupar un asiento tomado","Ocupar todos los asientos e intentar montar otro soldado","Aparece el aviso y Mount devuelve false","HECHO","Media"
"38","L1 Backlog base","IT10 Vehiculo","Vida del vehiculo visible adentro","Barra de vida del tanque en VehicleStatusView siempre visible","Dañar el vehiculo con el jugador dentro y leer la barra","La barra refleja la vida real del vehiculo","Pendiente","Alta"
"39","L1 Backlog base","IT10 Vehiculo","Velocidad legible","Mostrar CurrentSpeed con unidad y formato estable","Acelerar y leer el texto en varias velocidades","El valor sigue a CurrentSpeed sin parpadeo de formato","Pendiente","Media"
"40","L1 Backlog base","IT10 Vehiculo","Aviso al destruirse","Mensaje claro al pasar IsDestroyed a true","Destruir el vehiculo y verificar el aviso","Se muestra una sola vez al destruirse","HECHO","Alta"
"41","L1 Backlog base","IT11 Pantallas fin","Estadisticas en victoria y derrota","Acumular bajas y tiempo y mostrarlos en la pantalla final","Matar N enemigos, forzar victoria y leer las estadisticas","Las bajas mostradas coinciden con las reales","HECHO","Media"
"42","L1 Backlog base","IT11 Pantallas fin","Distinguir victoria de derrota","Paleta y titulo claramente distintos entre ambas","Abrir cada pantalla y comparar colores y textos","Difieren en color y texto principal","Pendiente","Media"
"43","L1 Backlog base","IT11 Pantallas fin","Foco por defecto en reintentar","Asignar el foco del EventSystem al abrir la pantalla","Abrir la pantalla y leer el objeto seleccionado del EventSystem","El seleccionado es el boton Reintentar","HECHO","Media"
"44","L1 Backlog base","IT11 Pantallas fin","Navegacion por teclado","Configurar Navigation entre los botones","Simular navegacion y verificar el cambio de foco","El foco se mueve entre los dos botones","HECHO","Media"
"45","L1 Backlog base","IT12 Pausa y config","Controles en el menu de pausa","Panel con el listado de teclas dentro de la pausa","Abrir pausa y verificar que el panel existe y no esta vacio","El panel muestra las teclas actuales","HECHO","Media"
"46","L1 Backlog base","IT12 Pausa y config","Persistir configuracion","Guardar volumen y sensibilidad en PlayerPrefs y releer al iniciar","Cambiar valores, recargar escena y leer los valores aplicados","Los valores se conservan tras recargar","HECHO","Alta"
"47","L1 Backlog base","IT12 Pausa y config","Volver al menu desde pausa","Boton que carga SC_MainMenu restaurando timeScale","Usar el boton y verificar escena activa y timeScale","Carga el menu y timeScale vuelve a 1","HECHO","Alta"
"48","L1 Backlog base","IT12 Pausa y config","Confirmar antes de salir","Dialogo de confirmacion previo a abandonar la partida","Pulsar salir y verificar que no cambia de escena hasta confirmar","Sin confirmar no hay cambio de escena","HECHO","Media"
"49","L1 Backlog base","IT13 Onboarding","Objetivo inicial","Cartel al empezar con la mision concreta","Iniciar partida y leer el cartel en los primeros segundos","Aparece al inicio y se retira solo","HECHO","Alta"
"50","L1 Backlog base","IT13 Onboarding","Recordatorio de cambio de modo","Sugerir el cambio a RTS las primeras veces y dejar de hacerlo luego","Iniciar y verificar que aparece, usarlo y verificar que deja de salir","Deja de mostrarse tras usarse","HECHO","Media"
"51","L1 Backlog base","IT13 Onboarding","Lista de controles bajo demanda","Panel con todos los atajos accesible con una tecla","Abrir y cerrar el panel y verificar su estado","Abre y cierra sin afectar el juego","HECHO","Media"
"52","L1 Backlog base","IT13 Onboarding","Resaltar la primera accion","Guiar la primera accion sugerida al empezar","Iniciar y verificar el resalte, ejecutarla y verificar que se apaga","Se apaga al completar la accion","Pendiente","Baja"
"53","L1 Backlog base","IT14 Legibilidad","Contorno en textos","Agregar Outline o Shadow a los textos del HUD","Verificar que los Text del HUD tienen el componente","Todos los textos criticos tienen contorno","HECHO","Media"
"54","L1 Backlog base","IT14 Legibilidad","Tamaños consistentes","Unificar fontSize por jerarquia de informacion","Listar fontSize de todos los Text del canvas","Los tamaños caen en un conjunto reducido y coherente","Pendiente","Baja"
"55","L1 Backlog base","IT14 Legibilidad","Evitar solapamiento","Verificar que ningun par de paneles activos se superponga","Calcular los rects de los paneles activos y buscar intersecciones","Cero intersecciones entre paneles simultaneos","HECHO","Alta"
"56","L1 Backlog base","IT14 Legibilidad","Margenes consistentes","Unificar la separacion al borde de pantalla","Leer anchoredPosition de los paneles anclados a bordes","Los margenes son iguales por borde","HECHO","Baja"
"57","L1 Backlog base","IT15 Feedback disparo","Retroceso del viewmodel","Desplazar el cubo del arma hacia atras y devolverlo por lerp","Guardar localPosition, disparar y muestrear en varios frames","Se desplaza y vuelve a la posicion original","HECHO","Alta"
"58","L1 Backlog base","IT15 Feedback disparo","Fogonazo en la boca","Destello breve en el Muzzle al disparar","Disparar y verificar que el efecto se activa y se apaga","Dura pocos frames y se apaga solo","HECHO","Alta"
"59","L1 Backlog base","IT15 Feedback disparo","Marcador de impacto en el mundo","ImpactFx en el punto de choque del proyectil","Disparar a una superficie y verificar el efecto en la posicion","Aparece en el punto correcto de impacto","HECHO","Alta"
"60","L1 Backlog base","IT15 Feedback disparo","Confirmacion de baja distinta","Señal separada para matar respecto de solo impactar","Herir y luego matar comparando los efectos disparados","Los dos casos producen efectos distintos","HECHO","Alta"
"61","L1 Backlog base","IT16 Escuadra","Aviso de aliado bajo ataque","Notificar al recibir DamageTakenEvent de un aliado no poseido","Dañar a un aliado y verificar el aviso","Aparece con el nombre del aliado correcto","HECHO","Media"
"62","L1 Backlog base","IT16 Escuadra","Aviso de aliado con poca vida","Alerta al cruzar un umbral bajo de vida","Bajar la vida de un aliado por debajo del umbral","Se avisa una sola vez al cruzar el umbral","HECHO","Media"
"63","L1 Backlog base","IT16 Escuadra","Indicador de aliados fuera de pantalla","Marca en el borde apuntando a aliados no visibles","Alejar un aliado del encuadre y leer la marca","La marca aparece y apunta en la direccion correcta","Pendiente","Media"
"64","L1 Backlog base","IT16 Escuadra","Resaltar el aliado poseible mas cercano","Destacar el candidato de posesion mas proximo","Acercarse a un aliado y verificar el resalte","Solo el mas cercano queda resaltado","HECHO","Baja"
"65","L1 Backlog base","IT17 Enemigos","Vida del enemigo al apuntar","Mostrar la vida en el panel de info al apuntarle","Apuntar a un enemigo herido y leer el panel","El valor coincide con su vida real","Pendiente","Alta"
"66","L1 Backlog base","IT17 Enemigos","Indicador de enemigo que te dispara","Marca de amenaza para atacantes fuera de pantalla","Hacer que un enemigo fuera de camara dispare al jugador","La marca aparece en la direccion del atacante","Pendiente","Alta"
"67","L1 Backlog base","IT17 Enemigos","Distinguir alerta de desprevenido","Reflejar el AiState del enemigo con una señal visual","Forzar el cambio de estado y leer la señal","La señal cambia con el estado","HECHO","Media"
"68","L1 Backlog base","IT17 Enemigos","Marcar el enemigo objetivo","Resaltar a quien esta apuntando el arma actual","Apuntar y verificar el resalte sobre el objetivo","Solo el objetivo bajo la mira queda marcado","Pendiente","Media"
"69","L1 Backlog base","IT18 Camara","Limites de paneo en RTS","Restringir la posicion de camara a los limites del mapa","Panear al extremo y leer la posicion final","Se detiene dentro de los limites definidos","HECHO","Alta"
"70","L1 Backlog base","IT18 Camara","Recentrar en la escuadra","Comando que centra la vista en el centroide de la escuadra","Panear lejos, ejecutar y comparar contra el centroide","La camara queda sobre el centroide","HECHO","Alta"
"71","L1 Backlog base","IT18 Camara","Zoom con limites claros","Clamp de orthographicSize con feedback al llegar al tope","Hacer zoom mas alla del tope y leer el valor","Se detiene en el limite sin pasarse","HECHO","Media"
"72","L1 Backlog base","IT18 Camara","Suavizado del paneo","Interpolar el paneo en vez de sumar directo a la posicion","Panear un frame y muestrear la posicion en los siguientes","La posicion converge suavemente al destino","HECHO","Media"
"73","L1 Backlog base","IT19 Accesibilidad","Sensibilidad separada por modo","Dos valores independientes para FPS y para RTS","Cambiar uno y verificar que el otro no se altera","Los dos valores son independientes","HECHO","Media"
"74","L1 Backlog base","IT19 Accesibilidad","Tamaño de HUD ajustable","Escalar el CanvasScaler desde configuracion","Cambiar la opcion y leer la escala del canvas","La escala cambia y persiste","HECHO","Media"
"75","L1 Backlog base","IT19 Accesibilidad","Invertir eje Y","Opcion que invierte el signo del pitch","Activar y comparar el signo del cambio de pitch","El pitch se mueve en sentido contrario","HECHO","Media"
"76","L1 Backlog base","IT19 Accesibilidad","Mirilla configurable","Permitir cambiar color y tamaño de la mirilla","Cambiar las opciones y leer color y sizeDelta","Los valores aplicados coinciden con lo elegido","HECHO","Baja"
"77","L1 Backlog base","IT20 Pulido","Textos en español consistente","Revisar tildes y terminologia unificada en todo el HUD","Volcar todos los textos del canvas y revisarlos","Sin faltas ni terminos duplicados para el mismo concepto","HECHO","Media"
"78","L1 Backlog base","IT20 Pulido","Sin estados de UI colgados","Recorrer todos los flujos verificando que nada queda visible de mas","Ejecutar el flujo completo y auditar activeSelf al final de cada paso","Ningun panel queda activo fuera de su contexto","HECHO","Alta"
"79","L1 Backlog base","IT20 Pulido","Regresion completa","Flujo menu partida pausa fin reintentar validado con clicks reales","Ejecutar el recorrido con EventSystem.RaycastAll y ExecuteEvents","El recorrido completo funciona sin intervencion manual","HECHO","Alta"
"80","L1 Backlog base","IT20 Pulido","Suite automatizada en verde","HeadlessTestRunner.RunAll sin errores","Limpiar consola, correr la suite y contar errores","Cero errores y mensaje de exito final","HECHO","Alta"
"81","L1 Backlog base","Bug de fondo","Victoria con enemigos vivos","BattleManager miraba solo la sublista de patrulla en vez de todos los enemigos","Matar solo los de la sublista y verificar que no hay victoria con otros vivos","La victoria solo salta con cero enemigos vivos reales","HECHO","Alta"
"82","L1 Backlog base","Bug de fondo","Soldado inactivo sin registrar","Awake no corre en inactivos, agregado EnsureAllRegistered con barrido incluyendo inactivos","Desactivar un soldado antes de cargar y verificar que aparece en el registro","Todos los soldados de la escena estan registrados","HECHO","Alta"
"83","L1 Backlog base","Bug de fondo","Soldado montado fuera del conteo","El montado se desactiva, el conteo ahora lo incluye igual","Montar un soldado y leer el contador de escuadra","El contador no baja al montar","HECHO","Alta"
"84","L1 Backlog base","Bug de fondo","Roster no se actualizaba en Play","La lista rows no sobrevive al domain reload, agregado auto sanado desde la jerarquia","Entrar en Play y verificar que las filas reflejan datos vivos","Las filas se actualizan en Play mode","HECHO","Alta"
"85","L1 Backlog base","Bug de fondo","Poseido inicial sin marcar","PossessionChangedEvent solo se publica al cambiar, ahora se lee del PlayerBrain","Iniciar partida y leer la marca del roster sin cambiar de soldado","El poseido inicial aparece marcado","HECHO","Alta"
"86","L2 Sensacion","Disparo","Retroceso de camara","Aplicar pitch corto en CameraRig que vuelve por lerp, con fuerza por WeaponKind","Guardar el pitch, disparar y muestrear en varios frames","El pitch sube al disparar y vuelve a cero en menos de 0.3 segundos","HECHO","Alta"
"87","L2 Sensacion","Disparo","Dispersion visible de la mirilla","Abrir la mirilla al disparar y moverse y cerrarla al quedarse quieto","Leer sizeDelta de la mirilla tras cinco disparos y tras dos segundos quieto","El tamaño crece al disparar y vuelve al minimo en reposo","HECHO","Alta"
"88","L2 Sensacion","Disparo","Audio distinto por arma","Generar frecuencia y decay por WeaponKind en GenericSfx en vez de un solo tono","Pedir el clip de cada arma y comparar longitud y frecuencia","Cada arma devuelve un clip distinto","HECHO","Media"
"89","L2 Sensacion","Disparo","Sonido de gatillo vacio","Clic seco cuando se dispara con CurrentAmmo en cero","Vaciar el cargador, disparar y verificar el clip reproducido","TryFire devuelve false y suena un clip distinto al de disparo","HECHO","Media"
"90","L2 Sensacion","Disparo","Cadencia sostenida","Usar isPressed en vez de wasPressedThisFrame para armas automaticas","Mantener el boton un segundo y contar proyectiles creados","La cantidad coincide con el segundo dividido el fireCooldown","HECHO","Alta"
"91","L2 Sensacion","Disparo","Hitmarker direccional","Cuatro lineas en X que aparecen solo al impactar a un enemigo","Publicar DamageTakenEvent con AttackerId propio y leer el estado del hitmarker","Se activa al impactar y se apaga a los 0.2 segundos","HECHO","Alta"
"92","L2 Sensacion","Disparo","Confirmacion sonora de baja","Tono agudo extra cuando el disparo propio mata y no solo impacta","Matar un enemigo con AttackerId propio y verificar los clips reproducidos","Suena el clip de muerte mas el tono de confirmacion","HECHO","Alta"
"93","L2 Sensacion","Disparo","Trazadora del proyectil","Estirar el proyectil en su eje de avance para leer la trayectoria","Comparar localScale.z del proyectil en vuelo contra el reposo","La escala en vuelo es mayor que en reposo","HECHO","Media"
"94","L2 Sensacion","Disparo","Impacto segun material","Color y particula distinta por EnvironmentHitKind","Disparar a suelo, obstaculo y vehiculo y comparar los efectos","Los tres casos generan efectos distintos","Pendiente","Media"
"95","L2 Sensacion","Disparo","Reaccion del cuerpo al daño","Empujon visual corto al soldado golpeado, legible desde RTS","Guardar rotacion, aplicar daño y muestrear en frames siguientes","Se desvia y vuelve a la rotacion original","Pendiente","Media"
"96","L2 Sensacion","Disparo","Aviso central de recarga","Texto breve bajo la mirilla mientras IsReloading","Forzar recarga y leer el estado del texto durante y despues","Visible durante la recarga y apagado al terminar","Pendiente","Media"
"97","L2 Sensacion","Vehiculo","Inercia de camara","Desplazar el ancla de camara segun CurrentSpeed para dar peso","Comparar el offset de camara a velocidad cero y a maxima","El offset difiere entre ambos estados","HECHO","Alta"
"98","L2 Sensacion","Vehiculo","Sacudida al andar","Vibracion proporcional a CurrentSpeed para que no se sienta flotante","Muestrear la posicion de camara treinta frames en movimiento","La varianza es mayor que cero y crece con la velocidad","HECHO","Alta"
"99","L2 Sensacion","Vehiculo","Sonido de motor por velocidad","Tono continuo cuyo pitch sigue la razon entre velocidad actual y maxima","Leer AudioSource.pitch a distintas velocidades","El pitch sube con la velocidad","HECHO","Alta"
"100","L2 Sensacion","Vehiculo","Marcha atras distinguible","Indicador y sonido mas grave cuando CurrentSpeed es negativo","Aplicar throttle negativo y leer el indicador","El indicador aparece solo con velocidad negativa","HECHO","Media"
"101","L2 Sensacion","Vehiculo","Feedback de frenado","Señal visual al llamar Brake, hoy no comunica nada","Llamar Brake y verificar el estado del indicador","El indicador se activa mientras se frena","HECHO","Media"
"102","L2 Sensacion","Vehiculo","Aviso de colision","Sacudida y sonido al chocar, hoy el tanque atraviesa sin avisar","Mover el vehiculo contra un obstaculo y verificar el evento","Se dispara el evento y el efecto de choque","HECHO","Media"
"103","L2 Sensacion","Vehiculo","Entrada al vehiculo mas legible","Fundido breve y texto que tapa el salto de camara","Montar y verificar duracion de la transicion y del texto","La transicion dura lo declarado y el texto se apaga solo","HECHO","Media"
"104","L2 Sensacion","Vehiculo","Bajar del lado correcto","Ubicar al soldado al costado del chasis segun su asiento","Montar cuatro soldados, desmontar y comparar posiciones","Cuatro posiciones distintas y ninguna dentro del chasis","HECHO","Alta"
"105","L2 Sensacion","Vehiculo","Indicador de asiento propio","Mostrar de forma permanente si sos conductor, artillero o pasajero","Cambiar de asiento con SwitchSeat y leer el indicador","El indicador cambia con el asiento","HECHO","Media"
"106","L2 Sensacion","Vehiculo","Cambio de asiento con transicion","SwitchSeat hoy teletransporta la camara, hacerlo con lerp corto","Cambiar de asiento y leer IsTransitioning inmediatamente despues","IsTransitioning es true tras el cambio","HECHO","Media"
"107","L2 Sensacion","Vehiculo","Daño de vehiculo distinto al personal","Viñeta y sacudida propias del tanque en vez de la de soldado","Dañar el vehiculo con el jugador dentro y verificar el efecto usado","Se usa el efecto de vehiculo y no el de soldado","HECHO","Media"
"108","L2 Sensacion","Vehiculo","Humo progresivo por vida","Señal visual continua de que el tanque esta por reventar","Bajar la vida por tramos y leer la intensidad del efecto","La intensidad sube al bajar la vida","HECHO","Media"
"109","L2 Sensacion","Torreta","Reticulo propio de torreta","Distinto al de infanteria, con estado de alineado usando IsAimedAt","Apuntar lejos y cerca del blanco y leer el estado del reticulo","Muestra dos estados segun IsAimedAt","HECHO","Alta"
"110","L2 Sensacion","Torreta","Mostrar el giro pendiente","Marca que indica hacia donde va a llegar el cañon mientras rota lento","Pedir un angulo lejano y comparar marca objetivo contra cañon","Difieren durante la rotacion y coinciden al terminar","HECHO","Media"
"111","L2 Sensacion","Torreta","Cooldown de torreta visible","Barra circular con el fireCooldown de medio segundo","Disparar y muestrear el llenado a 0.1 y 0.6 segundos","El llenado progresa de cero a uno en el tiempo del cooldown","HECHO","Media"
"112","L2 Sensacion","Torreta","Previsualizacion del radio de explosion","Circulo en el suelo con el explosionRadius real","Comparar el radio dibujado contra el campo del TurretWeapon","Coinciden exactamente","HECHO","Alta"
"113","L2 Sensacion","Torreta","Retroceso y fogonazo del cañon","El cañon se hunde y vuelve al disparar, es el disparo mas potente","Medir localPosition.z antes, durante y despues del disparo","Se hunde y vuelve al valor original","HECHO","Alta"
"114","L2 Sensacion","Torreta","Aviso de que la IA tomo la torreta","Al bajar de artillero TurretAI retoma control sin avisar","Desmontar al artillero y verificar el aviso y la actividad de TurretAI","Aparece el aviso y TurretAI vuelve a actuar","HECHO","Media"
"115","L2 Sensacion","Ordenes","Cola de ordenes","Encolar varios destinos en vez de reemplazar la orden","Dar tres ordenes encoladas y leer los puntos guardados en AiBrain","Guarda tres puntos y los recorre en orden","HECHO","Alta"
"116","L2 Sensacion","Ordenes","Marcadores numerados","Numerar los marcadores al encolar para leer la secuencia","Encolar tres ordenes y leer los textos de los marcadores","Los marcadores muestran uno, dos y tres","HECHO","Media"
"117","L2 Sensacion","Ordenes","Formacion al mover el grupo","IssueMoveOrderForSelection manda a todos al mismo punto y se amontonan","Ordenar mover tres soldados y comparar sus destinos","Tres destinos distintos con separacion minima","HECHO","Alta"
"118","L2 Sensacion","Ordenes","Previsualizacion de formacion","Mostrar los destinos mientras se mantiene el boton","Simular boton mantenido y leer los marcadores fantasma","Aparecen antes de soltar y se confirman al soltar","HECHO","Media"
"119","L2 Sensacion","Ordenes","Orden de ataque con click derecho","IssueAttackOrder existe pero no esta cableada al click en RTS","Click derecho sobre enemigo y leer AiBrain.State","El estado pasa a MovingToAttackOrder","HECHO","Alta"
"120","L2 Sensacion","Ordenes","Estado de cada soldado en RTS","AiStateChangedEvent ya se publica pero no se muestra","Forzar cambios de estado y leer el texto sobre el soldado","El texto refleja el estado actual","HECHO","Media"
"121","L2 Sensacion","Ordenes","Cancelar ordenes de la seleccion","Tecla que devuelve los seleccionados a Patrol o Idle","Dar orden, cancelar y leer estado y marcadores","El estado vuelve y el marcador desaparece","HECHO","Media"
"122","L2 Sensacion","Ordenes","Sonido de orden una vez por lote","IssueMoveOrder suena por soldado, con tres seleccionados suenan tres veces","Ordenar a tres y contar reproducciones del clip de orden","Se reproduce exactamente una vez","HECHO","Alta"
"123","L2 Sensacion","Ordenes","Confirmacion por soldado","Destello en el anillo de cada soldado que recibio la orden","Ordenar a tres y verificar el destello en los tres anillos","Los tres anillos destellan","HECHO","Media"
"124","L2 Sensacion","Ordenes","Grupos de control","Guardar seleccion con modificador y recuperarla con la tecla numerica","Guardar, cambiar seleccion, recuperar y comparar los IDs","Los IDs recuperados son los guardados","HECHO","Alta"
"125","L2 Sensacion","Ordenes","Centrar camara en el grupo","Recuperar el grupo dos veces seguidas centra la vista en el","Medir la posicion de camara antes y despues de la segunda pulsacion","La camara queda sobre el centroide del grupo","HECHO","Media"
"126","L2 Sensacion","Ordenes","Feedback de orden invalida","Ordenar sobre obstaculo o vehiculo destruido no avisa nada","Ordenar sobre un obstaculo y verificar el mensaje de rechazo","Aparece el aviso y no se emite la orden","HECHO","Media"
"127","L2 Sensacion","Posesion","Transicion al poseer","PossessSquadIndex salta seco, usar BeginTransition como hace la muerte","Poseer y leer IsTransitioning inmediatamente despues","IsTransitioning es true tras poseer","HECHO","Alta"
"128","L2 Sensacion","Posesion","Aviso de a quien pasaste","Texto breve con el nombre del nuevo soldado controlado","Poseer y leer el texto y su expiracion","Muestra el nombre correcto y se apaga solo","HECHO","Media"
