"ID","Lote","Categoria","Titulo","Prioridad","Estado","Problema que resuelve","Implementacion detallada","Archivos afectados","Pasos de test","Criterio de aceptacion","Dependencias","Riesgo","Esfuerzo"
"11","L1","IT3 Roster","Marca del poseido","Alta","HECHO","El color de fondo azul no alcanzaba para distinguir al poseido del seleccionado en amarillo, sobre todo de reojo en combate.","Prefijo grafico de flecha delante del nombre solo en la fila del soldado controlado y solo si esta vivo. El id de poseido se lee del PlayerBrain y no solo del evento.","UI/SelectedSoldierUI.cs","Poseer distintos soldados y leer el texto de cada fila en cada caso.","Solo la fila del poseido lleva la marca y cambia al poseer otro.","Punto 85","Bajo","S"
"12","L1","IT3 Roster","Arma por fila","Media","HECHO","No habia forma de saber que arma tenia cada aliado sin poseerlo primero, lo que vuelve la eleccion de a quien controlar una apuesta.","Leer WeaponHolder.CurrentWeaponKind del soldado y agregarlo al segundo renglon de la fila junto a la vida.","UI/SelectedSoldierUI.cs","Cambiar el arma de un soldado con EquipWeapon y releer su fila.","El arma mostrada coincide con la equipada.","Punto 9","Bajo","S"
"13","L1","IT4 Municion","Aviso sin municion","Alta","Pendiente","Al quedarse sin balas el disparo simplemente no sale. El jugador cree que el juego se colgo o que le fallo el click, en vez de entender que tiene que recargar.","Texto centrado bajo la mirilla que se activa cuando CurrentAmmo llega a cero y se apaga al completarse la recarga. Conviene que sea el mismo componente que el aviso de recarga para que nunca aparezcan los dos juntos.","UI/WeaponStatusView.cs o vista nueva. Combat/WeaponHolder.cs exponer el estado.","Vaciar el cargador disparando en bucle y leer el aviso. Recargar y volver a leer.","El aviso aparece al llegar a cero y desaparece al terminar la recarga.","Punto 16","Bajo","S"
"14","L1","IT4 Municion","Contador en rojo con poca municion","Media","Pendiente","El contador de municion es texto blanco fijo. El jugador no registra que se esta quedando corto hasta que ya se quedo sin balas.","Teñir el Text del contador cuando la razon entre CurrentAmmo y MagazineSize baja de 0.3. Mantener el color normal por encima del umbral.","UI/WeaponStatusView.cs","Fijar la municion en 2 de 8 y leer el color del texto. Recargar y volver a leerlo.","Color de alerta bajo el umbral y color normal por encima.","Ninguna","Bajo","S"
"15","L1","IT4 Municion","Barra de recarga legible","Media","Pendiente","La barra usa el mismo color para el enfriamiento entre disparos y para la recarga, que son dos esperas muy distintas en duracion y en consecuencia.","Usar ReadinessFraction01 que ya distingue ambos casos y aplicar un color distinto segun IsReloading. Conviene tambien engrosar la barra durante la recarga para que se note el cambio de estado.","UI/WeaponStatusView.cs","Disparar una vez y muestrear fill y color. Forzar recarga y muestrear en varios instantes hasta completarse.","La barra progresa de cero a uno durante la recarga con un color distinto al del enfriamiento.","Ninguna","Bajo","S"
"16","L1","IT4 Municion","Recarga manual","Alta","Pendiente","Hoy solo se recarga al quedarse sin balas. No se puede rellenar un cargador a medias antes de entrar en combate, que es una decision tactica basica en cualquier shooter.","Metodo Reload publico en WeaponHolder que no hace nada si ya esta recargando o si el cargador esta lleno, atado a una tecla comoda para la mano izquierda.","Combat/WeaponHolder.cs. Player/PlayerInputDriver.cs en UpdateFps.","Con cargador parcial llamar Reload y verificar IsReloading. Esperar y verificar el cargador. Llamar Reload con cargador lleno y verificar que no pasa nada.","IsReloading pasa a true, termina con el cargador lleno y la llamada redundante no reinicia la espera.","Punto 198","Bajo","S"
"17","L1","IT5 Daño recibido","Indicador de direccion del daño","Alta","Pendiente","Al recibir un disparo desde fuera de camara no hay forma de saber de donde vino. El jugador gira al azar buscando al atacante y muere mientras lo hace.","Marca en el borde de pantalla rotada segun el angulo entre la posicion del atacante y el frente del jugador. Se calcula con el AttackerId del DamageTakenEvent buscando al actor en el registro. Se desvanece en menos de un segundo.","UI nueva vista de indicador. Core/Events.cs ya expone AttackerId.","Publicar DamageTakenEvent con atacantes ubicados al frente, a la izquierda y detras, y leer la rotacion del indicador en cada caso.","El angulo del indicador corresponde a la posicion real del atacante en los tres casos.","Punto 82","Medio. Requiere resolver el atacante desde el id y contemplar que ya este muerto.","M"
"18","L1","IT5 Daño recibido","Vignette mas fuerte con poca vida","Media","Pendiente","El viñeteo tiene la misma intensidad con vida llena que al borde de morir, asi que no comunica gravedad, solo que algo paso.","Escalar el alfa pico de DamageVignetteView en funcion de la vida restante del poseido, tomandola del PlayerBrain que ya se auto sana en OnEnable.","UI/DamageVignetteView.cs","Recibir el mismo daño con vida alta y con vida baja y comparar el alfa pico alcanzado en cada caso.","El alfa pico es mayor con vida baja.","Ninguna","Bajo","S"
"19","L1","IT5 Daño recibido","Numero de daño flotante","Media","Pendiente","No hay forma de saber cuanto daño hace cada arma ni si un impacto fue mejor que otro. El jugador no puede aprender el sistema de combate.","Texto en espacio de mundo sobre el objetivo que sube y se desvanece, alimentado por el DamageTakenEvent. Debe salir de un pool desde el principio porque en combate masivo se generan muchos por segundo.","Presentation nueva vista. Requiere pool propio.","Aplicar daño de valor conocido y leer el texto generado y su expiracion.","El numero coincide con el daño aplicado y el objeto vuelve al pool.","Punto 163, punto 137","Medio. Sin pool es una fuente de basura por frame.","M"
"20","L1","IT5 Daño recibido","Distinguir recibir de dar daño","Alta","Pendiente","Hoy el mismo evento alimenta la mirilla y el viñeteo. Si no se filtra bien por rol, pegarle a alguien y recibir un tiro se sienten parecido, que es el peor error posible de feedback.","Separar por completo las dos rutas. Si el jugador es TargetId va viñeteo y sacudida. Si es AttackerId va hitmarker y sonido de confirmacion. Nunca deben compartir componente ni sonido.","UI/DamageVignetteView.cs, UI/AimUI.cs","Generar los dos casos por separado y verificar que cada uno activa solo su propio efecto.","Cada caso dispara su efecto y ninguno activa el del otro.","Punto 91","Bajo","S"
"21","L1","IT6 Minimapa","Leyenda de colores","Baja","Pendiente","El minimapa muestra puntos de colores sin explicar que significa cada uno. El jugador tiene que deducirlo por prueba y error.","Panel chico junto al minimapa con una muestra de color y su etiqueta para aliado, enemigo y vehiculo. Los colores deben leerse de las mismas constantes que usa MinimapIcon para que no se desincronicen.","UI nueva. Presentation/MinimapIcon.cs exponer las constantes.","Comparar cada color de la leyenda contra la constante usada al generar el icono correspondiente.","Los colores de la leyenda son identicos a los de los iconos reales.","Ninguna","Bajo","S"
"22","L1","IT6 Minimapa","Flecha de orientacion","Media","Pendiente","El icono del jugador es un circulo, asi que el minimapa no dice hacia donde estas mirando. En un mapa cenital esa es la mitad de la informacion util.","Reemplazar el cilindro del icono propio por una forma direccional y rotarla en LateUpdate segun el yaw del transform seguido.","Presentation/MinimapIcon.cs","Rotar al jugador a varios angulos y leer la rotacion del icono en cada uno.","La rotacion del icono sigue a la del jugador con el mismo angulo.","Ninguna","Bajo","S"
"23","L1","IT6 Minimapa","Iconos de enemigo distinguibles","Media","Pendiente","Aliado y enemigo se distinguen solo por color, lo que falla con daltonismo y tambien de reojo en un minimapa chico.","Diferenciar tambien por tamaño o forma ademas del color, de modo que la distincion sobreviva a la perdida del canal de color.","Presentation/MinimapIcon.cs","Comparar escala y color de un icono aliado y uno enemigo.","Difieren en al menos dos atributos y no solo en color.","Punto 21","Bajo","S"
"24","L1","IT6 Minimapa","Niebla simple","Media","Pendiente","El minimapa muestra todos los enemigos del mapa siempre, incluso los que la escuadra nunca vio. Eso elimina la exploracion y la sorpresa.","Activar o desactivar el icono segun si algun soldado propio vivo esta dentro de un radio de vision del enemigo. Conviene evaluarlo a intervalo y no por frame.","Presentation/MinimapIcon.cs. Core/ActorRegistry.cs para la consulta de cercania.","Alejar un enemigo mas alla del rango de toda la escuadra y leer el estado de su icono. Acercar un aliado y volver a leerlo.","El icono se desactiva fuera de rango y se reactiva al entrar.","Punto 225","Medio. Hecho por frame y por unidad es costoso a escala.","M"
"25","L1","IT7 Ordenes RTS","Marcador de destino","Alta","Pendiente","OrderMarkerFx existe y se invoca en IssueMoveOrder, pero hay que confirmar que sea realmente visible desde la altura de camara RTS y que expire solo.","Revisar tamaño y color del marcador contra la altura de camara RTS y darle una expiracion propia. Debe verse sin tapar el terreno.","Presentation/OrderMarkerFx.cs","Dar una orden y verificar que el marcador aparece en el punto ordenado y que desaparece transcurrido su tiempo.","Aparece en la posicion exacta ordenada y expira solo sin dejar objetos vivos.","Ninguna","Bajo","S"
"26","L1","IT7 Ordenes RTS","Linea al destino","Media","Pendiente","Con varios soldados en movimiento no se sabe cual va a donde. El marcador solo dice que hay un destino, no de quien es.","LineRenderer desde el soldado hasta su punto ordenado mientras el AiBrain tenga la orden activa, que se apaga al llegar o al cancelar.","Presentation nueva. Ai/AiBrain.cs exponer el destino actual.","Dar orden a un soldado y verificar que la linea existe y que sus dos extremos coinciden con soldado y destino. Cancelar y verificar que se apaga.","Los extremos coinciden y la linea desaparece al completarse o cancelarse la orden.","Punto 25","Medio. Con cincuenta unidades hay que poolear los LineRenderer.","M"
"27","L1","IT7 Ordenes RTS","Confirmacion en texto","Media","Pendiente","Al dar una orden no hay confirmacion de cuantos la recibieron. Si la seleccion no era la que el jugador creia, se entera tarde.","Mensaje breve indicando la accion y la cantidad de soldados que la recibieron, alimentado desde IssueMoveOrderForSelection que ya conoce el conjunto.","Player/OrderService.cs. UI/InstructionBannerView.cs","Ordenar a dos soldados y leer el texto mostrado.","El texto refleja la cantidad correcta de destinatarios.","Ninguna","Bajo","S"
"28","L1","IT7 Ordenes RTS","Cancelar ordenes","Media","Pendiente","Una orden dada por error no se puede deshacer. El soldado camina hasta el destino equivocado y hay que esperar a que llegue para redirigirlo.","Comando que devuelve los seleccionados a Patrol o Idle limpiando el destino y el marcador asociado.","Ai/AiBrain.cs metodo de cancelacion. Player/PlayerInputDriver.cs atajo.","Dar orden, cancelar y leer AiBrain.State y la existencia del marcador.","El estado deja de ser MovingToOrder y el marcador se limpia.","Punto 25","Bajo","S"
"29","L1","IT8 Seleccion RTS","Contador de seleccionados visible","Media","Pendiente","La cantidad de seleccionados se muestra al final de una linea larga de texto de ayuda, donde nadie la lee durante una batalla.","Elemento propio y destacado con el numero, separado del texto de atajos.","UI nueva o InstructionBannerView.cs. Player/SelectionController.cs ya expone el conteo.","Seleccionar dos soldados y leer el contador. Limpiar seleccion y volver a leerlo.","Coincide siempre con Selection.Selected.Count.","Ninguna","Bajo","S"
"30","L1","IT8 Seleccion RTS","Seleccionar toda la escuadra","Alta","Pendiente","Para mover a todos hay que arrastrar un cuadro que los abarque, lo que obliga a panear la camara hasta encuadrarlos a todos. Es el comando mas frecuente de un RTS y hoy es el mas incomodo.","Atajo que llama a la seleccion de todos los aliados vivos leidos del registro, excluyendo caidos y opcionalmente los montados.","Player/SelectionController.cs. Player/PlayerInputDriver.cs atajo.","Ejecutar el atajo con un soldado muerto y comparar el resultado contra la lista de vivos.","Selecciona exactamente los vivos y ninguno muerto.","Punto 82","Bajo","S"
"31","L1","IT8 Seleccion RTS","Seleccionar por rol","Baja","Pendiente","No hay forma de agrupar por especialidad. Para mandar solo a los medicos hay que clickearlos uno por uno.","Doble click sobre un soldado selecciona todos los del mismo RoleType visibles en pantalla, patron estandar del genero.","Player/PlayerInputDriver.cs en UpdateDragSelection. Player/SelectionController.cs","Doble click sobre un soldado de un rol y leer los seleccionados.","Todos los seleccionados comparten el rol del clickeado.","Punto 30","Bajo","M"
"32","L1","IT8 Seleccion RTS","Anillo con color por vida","Baja","Pendiente","Los anillos de seleccion son todos del mismo amarillo, asi que la seleccion no comunica el estado de la tropa seleccionada.","Teñir SelectionRingFx segun la fraccion de vida usando los mismos umbrales del resto del HUD.","Presentation/SelectionRingFx.cs, Presentation/SelectionRingManager.cs","Seleccionar un soldado herido y otro sano y comparar los colores de sus anillos.","Los colores difieren segun la vida con los umbrales estandar.","Punto 2","Bajo","S"
"33","L1","IT9 Transicion FPS RTS","Aviso del modo al cambiar","Media","Pendiente","El cambio de modo es un corte seco de proyeccion. Por un instante no queda claro que paso ni en que modo estas.","Texto breve al alternar que se desvanece solo, indicando el modo al que se entro.","UI/InstructionBannerView.cs. Player/PlayerInputDriver.cs en la rama de Tab.","Alternar modo y verificar aparicion del texto y su expiracion posterior.","Aparece al cambiar con el modo correcto y se apaga solo.","Ninguna","Bajo","S"
"34","L1","IT9 Transicion FPS RTS","Lerp de camara al cambiar","Alta","Pendiente","SetMode cambia orthographic de golpe y SetRtsView reposiciona la camara en el mismo frame. Es el corte mas brusco del juego y desorienta cada vez.","Interpolar posicion y rotacion con el mecanismo de BeginTransition que ya existe, y contemplar que el cambio de proyeccion ortografica no admite interpolacion directa, por lo que conviene cubrirlo con un efecto de pantalla.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs","Alternar y leer IsTransitioning inmediatamente despues y unos frames mas tarde.","IsTransitioning es true durante la transicion y false al terminar, con la camara en la pose destino.","Punto 184","Medio. La proyeccion ortografica no interpola, hay que enmascarar el salto.","M"
"35","L1","IT9 Transicion FPS RTS","Recordar vista RTS","Media","Pendiente","Cada vez que se vuelve a RTS la camara se recentra en el soldado poseido, perdiendo el encuadre que el jugador habia armado para observar una zona.","Guardar posicion y orthographicSize al salir de RTS y restaurarlos al volver, salvo que el jugador pida recentrar explicitamente.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs","Panear a una zona, pasar a FPS, volver a RTS y comparar posicion y zoom contra los guardados.","La vista vuelve al mismo punto y zoom que tenia al salir.","Punto 70","Bajo","S"
"36","L1","IT9 Transicion FPS RTS","Instrucciones por modo","Media","Pendiente","El texto de ayuda debe mostrar solo los atajos validos del estado actual. Si menciona teclas que no hacen nada en ese modo, entrena al jugador a ignorar el cartel entero.","Auditar las tres ramas que llaman a SetInstructionText y verificar que cada una liste solo atajos que realmente funcionan en ese estado.","Player/PlayerInputDriver.cs en UpdateFps, UpdateRts y UpdateInVehicle","Leer el texto en FPS, en RTS y dentro del vehiculo y contrastar cada tecla listada contra el codigo que la maneja en esa rama.","Cada modo muestra solo teclas que tienen efecto en ese modo.","Ninguna","Bajo","S"
"37","L1","IT10 Vehiculo","Aviso de asiento ocupado","Media","Pendiente","Vehicle.Mount devuelve false en silencio cuando el asiento esta tomado. El jugador aprieta la tecla, no pasa nada y no sabe por que.","Mensaje contextual cuando el intento de montar falla por asiento ocupado, diferenciandolo del caso de vehiculo destruido que ya se contempla.","Vehicles/Vehicle.cs, UI/AimUI.cs, Player/PlayerInputDriver.cs","Ocupar todos los asientos e intentar montar otro soldado, leyendo el aviso y el valor devuelto.","Aparece el aviso especifico y Mount devuelve false.","Ninguna","Bajo","S"
"38","L1","IT10 Vehiculo","Vida del vehiculo visible adentro","Alta","Pendiente","Manejando el tanque no se ve su vida. El vehiculo puede estar a un disparo de reventar con el jugador adentro y nada lo avisa.","Barra de vida del vehiculo en VehicleStatusView alimentada desde el Health del Vehicle, siempre visible mientras se este a bordo.","UI/VehicleStatusView.cs","Dañar el vehiculo con el jugador dentro y leer la barra en varios niveles de vida.","La barra refleja la vida real del vehiculo en todo momento.","Ninguna","Bajo","S"
"39","L1","IT10 Vehiculo","Velocidad legible","Media","Pendiente","El texto de velocidad cambia de cantidad de digitos constantemente y parpadea, lo que lo vuelve ilegible en movimiento.","Formato numerico fijo con unidad, redondeado de modo que no cambie de ancho al variar la velocidad.","UI/VehicleStatusView.cs","Acelerar de cero a maximo y leer el texto en varios puntos verificando el ancho del formato.","El valor sigue a CurrentSpeed sin cambiar de formato ni parpadear.","Ninguna","Bajo","S"
"40","L1","IT10 Vehiculo","Aviso al destruirse","Alta","Pendiente","OnDestroyed expulsa a todos y apaga los sistemas, pero el unico indicio visual es que el chasis se oscurece. Si estabas adentro te encontras de golpe a pie sin saber que paso.","Mensaje claro y unico al pasar IsDestroyed a true, con prioridad alta en la cola de avisos.","Vehicles/Vehicle.cs en OnDestroyed. UI vista de avisos.","Destruir el vehiculo y verificar que el aviso aparece una sola vez y no se repite en frames siguientes.","Se muestra exactamente una vez al destruirse.","Punto 216","Bajo","S"
"41","L1","IT11 Pantallas fin","Estadisticas en victoria y derrota","Media","Pendiente","La pantalla final solo dice si ganaste o perdiste. No hay ningun dato de como fue la partida, asi que no invita a mejorar ni a reintentar con otra estrategia.","Contador acumulado de bajas propias y recibidas y tiempo transcurrido, alimentado por suscripcion a EntityDiedEvent en un servicio de partida. Se muestra en las dos pantallas con el mismo formato.","Presentation/GameOutcomeController.cs. Servicio nuevo de estadisticas de partida.","Matar N enemigos, forzar victoria y comparar las estadisticas mostradas contra el conteo real acumulado.","Las bajas mostradas coinciden exactamente con las reales y el tiempo es coherente.","Punto 82","Bajo","M"
"42","L1","IT11 Pantallas fin","Distinguir victoria de derrota","Media","Pendiente","Las dos pantallas comparten estructura y botones. Si ademas comparten paleta, el jugador tarda en registrar cual de las dos le toco.","Paleta y titulo claramente distintos entre ambas manteniendo identicos los dos botones, que es lo que el jugador ya sabe usar.","Editor/HeadlessTestRunner.cs construccion de los paneles","Abrir cada pantalla y comparar colores de fondo y texto de titulo.","Difieren claramente en color principal y en texto, y coinciden en la disposicion de botones.","Ninguna","Bajo","S"
"43","L1","IT11 Pantallas fin","Foco por defecto en reintentar","Media","Pendiente","Al abrirse la pantalla ningun boton tiene foco, asi que el teclado no sirve hasta que el jugador clickea con el mouse.","Asignar EventSystem.current.SetSelectedGameObject al boton Reintentar al activar el panel, que es la accion mas probable.","Presentation/GameOutcomeController.cs en ShowVictory y ShowDefeat","Abrir la pantalla y leer el objeto seleccionado actual del EventSystem.","El seleccionado es el boton Reintentar en ambas pantallas.","Punto 44","Bajo","S"
"44","L1","IT11 Pantallas fin","Navegacion por teclado","Media","Pendiente","Los botones no tienen Navigation configurada, asi que no se puede pasar de uno a otro sin mouse.","Configurar Navigation explicita entre Reintentar y Salir en ambos paneles, evitando el modo automatico que puede saltar a elementos de otro panel.","Editor/HeadlessTestRunner.cs construccion de los botones","Simular la navegacion desde el boton enfocado y verificar el cambio de seleccion.","El foco se mueve entre los dos botones y no escapa a otros paneles.","Punto 43","Bajo","S"
"45","L1","IT12 Pausa y config","Controles en el menu de pausa","Media","Pendiente","La pausa es el momento natural para consultar los controles y hoy no los muestra, obligando a salir del juego para averiguarlos.","Panel con el listado completo de atajos dentro del menu de pausa, generado desde la misma fuente que alimenta el cartel contextual para que nunca se desincronicen.","Presentation/PauseController.cs. Editor/HeadlessTestRunner.cs BuildPauseUI.","Abrir pausa y verificar que el panel existe, esta activo y su texto no esta vacio.","El panel muestra las teclas actuales y coinciden con las realmente implementadas.","Punto 209","Bajo","M"
"46","L1","IT12 Pausa y config","Persistir configuracion","Alta","Pendiente","El volumen y la sensibilidad se pierden al recargar la escena, que es exactamente lo que pasa al usar Reintentar. El jugador tiene que reconfigurar en cada intento.","Guardar en PlayerPrefs al cambiar cada slider y releer los valores al inicializar el panel, aplicandolos a AudioListener y al LookSensitivity del driver.","Presentation/PauseController.cs","Cambiar los dos valores, recargar la escena y leer los valores efectivamente aplicados.","Los valores se conservan tras recargar y se aplican al sistema real y no solo al slider.","Ninguna","Bajo","S"
"47","L1","IT12 Pausa y config","Volver al menu desde pausa","Alta","Pendiente","Desde la pausa no hay forma de abandonar la partida. La unica salida es morir o cerrar el juego, lo que deja al jugador atrapado.","Boton que restaura timeScale a uno y carga la escena de menu, reutilizando el mismo camino que ya usa el boton Salir de la pantalla de fin.","Presentation/PauseController.cs","Usar el boton y verificar escena activa y valor de timeScale despues de la carga.","Carga el menu y timeScale vuelve a uno sin quedar el juego congelado.","Punto 48","Bajo","S"
"48","L1","IT12 Pausa y config","Confirmar antes de salir","Media","Pendiente","Abandonar la partida es irreversible y perder el progreso por un click accidental en un menu es una de las peores frustraciones posibles.","Dialogo de confirmacion previo que solo ejecuta la carga de escena tras la respuesta afirmativa.","Presentation/PauseController.cs","Pulsar salir y verificar que la escena activa no cambio. Confirmar y verificar que ahora si cambia.","Sin confirmar no hay cambio de escena y con confirmacion se ejecuta.","Punto 47","Bajo","S"
"49","L1","IT13 Onboarding","Objetivo inicial","Alta","Pendiente","La partida arranca sin decir que hay que hacer. El jugador deduce el objetivo matando cosas hasta que aparece la pantalla de victoria.","Cartel al empezar con la mision concreta, que se retira solo tras unos segundos y usa el mismo canal que el resto de avisos temporales.","Presentation/GameplaySceneBootstrap.cs. UI/PhaseBannerView.cs","Iniciar partida y leer el cartel en los primeros segundos y verificar que se retira.","Aparece al inicio con el objetivo y se retira solo sin quedar colgado.","Punto 5","Bajo","S"
"50","L1","IT13 Onboarding","Recordatorio de cambio de modo","Media","Pendiente","La mecanica central del juego es alternar entre FPS y RTS y nada se lo dice al jugador. Puede jugar la partida entera sin descubrirla.","Sugerencia que aparece las primeras veces y deja de mostrarse una vez que el jugador usa el cambio de modo, guardando ese hecho para no repetirlo.","Player/PlayerInputDriver.cs. UI/InstructionBannerView.cs","Iniciar y verificar que aparece. Usar el cambio de modo y verificar que deja de aparecer en adelante.","Deja de mostrarse permanentemente tras el primer uso.","Punto 33","Bajo","S"
"51","L1","IT13 Onboarding","Lista de controles bajo demanda","Media","Pendiente","El cartel contextual solo muestra unos pocos atajos. No hay ningun lugar donde ver la lista completa sin abrir la pausa.","Panel con todos los atajos que se abre y cierra con una tecla, sin congelar el juego, compartiendo la fuente de datos con el panel de la pausa.","UI nueva. Player/PlayerInputDriver.cs atajo.","Abrir y cerrar el panel verificando su estado y que el juego sigue corriendo.","Abre y cierra correctamente sin afectar el estado del juego.","Punto 45","Bajo","S"
